content,date,location,like_count,source,total_media_shared,retweet_count,month_year,clearcontent
"1/ *NEW PAPERS ALERT*

Very proud to share the work of many collaborators &amp; contributors for my new theme issue in the @JournalofEthics on the ethics of #pandemic response. Pandemics are complicated, requiring the collaboration of many disciplines.

https://t.co/ZzduMvHerD",2020-01-01,"Stanford, CA",15,Twitter Web App,0,4,2020-01,1 new papers alert very proud to share the work of many collaborators amp contributors for my new theme issue in the journalofethics on the ethics of pandemic response pandemics are complicated requiring the collaboration of many disciplines
"Drawing from actual events, #Event201 identifies important policy issues and preparedness challenges that could be solved during a severe #pandemic with sufficient political will and attention from the private &amp; public sector.

Watch: https://t.co/FaClpTdB8q",2020-01-02,Baltimore,1,TweetDeck,0,0,2020-01,drawing from actual events event201 identifies important policy issues and preparedness challenges that could be solved during a severe pandemic with sufficient political will and attention from the private amp public sector watch
Interesting article @PNAS on whether the Justinianic #Plague was an inconsequential #pandemic. #EpiTwitter #history https://t.co/ASlqwVFDoP,2020-01-05,Kumeyaay unceded land. ,3,Twitter Web Client,0,1,2020-01,interesting article pnas on whether the justinianic plague was an inconsequential pandemic epitwitter history
"@arambaut @WHO But batteries of tests have been performed, and ruled out. No circulating #influenza, no known #coronavirus and no known #adenovirus have been found in samples from the 44 #WuHanPneumonia cases or the ID'ed cases in Hong Kong. Not sure what tests done so far on Singapore case.",2020-01-05,"New York, NY",1,Twitter Web App,0,0,2020-01,arambaut who but batteries of tests have been performed and ruled out no circulating influenza no known coronavirus and no known adenovirus have been found in samples from the 44 wuhanpneumonia cases or the ided cases in hong kong not sure what tests done so far on singapore case
#Pandemic players: what do you do if you draw an infection card for a disease that's cures but not eradicated?,2020-01-06,Kingdom of Fife,3,Twitter for Android,0,0,2020-01,pandemic players what do you do if you draw an infection card for a disease thats cures but not eradicated
"Preparing for the Next #Pandemic — The @WHO’s Global #InfluenzaStrategy
Mark Eccleston-Turner, Ph.D., Alexandra Phelan, S.J.D., &amp; Rebecca Katz, Ph.D., M.P.H.
https://t.co/DGES9bHoYR
@NEJM 
#Flu #Influenza https://t.co/ygNOOimWiO",2020-01-07,"Boston, MA",1,Hootsuite Inc.,1,0,2020-01,preparing for the next pandemic the whos global influenzastrategy mark ecclestonturner phd alexandra phelan sjd amp rebecca katz phd mph nejm flu influenza
"It’s not known whether a #SARS-like “#coronavirus” has been identified, although there have been “numerous unsubstantiated reports mentioning a novel coronavirus that is SARS-like,” the @ISID_org ProMED said Friday. @thecolumbian https://t.co/XxGL3sd9za",2020-01-07,Worldwide,21,Hootsuite Inc.,0,13,2020-01,its not known whether a sarslike coronavirus has been identified although there have been numerous unsubstantiated reports mentioning a novel coronavirus that is sarslike the isidorg promed said friday thecolumbian
"Concern that a novel #coronavirus has caused the #wuhanpneumonia outbreak is gaining credence, though still unconfirmed. No clear evidence of human-to-human transmission on health workers being infected https://t.co/VGBIUpegkC via @business",2020-01-08,Melbourne,2,Twitter Web Client,0,3,2020-01,concern that a novel coronavirus has caused the wuhanpneumonia outbreak is gaining credence though still unconfirmed no clear evidence of humantohuman transmission on health workers being infected via business
"Given that both #Wuhan and #HongKong's numbers continue to climb, this requires more watching.

The US CDC has issued a Level 1 alert regarding the #Wuhan #pneumonia novel #EmergingVirus. #EID #Coronavirus (#WuhanSARS, though trending, is not a thing!) /end",2020-01-08,"Maine, USA",8,Twitter Web App,0,3,2020-01,given that both wuhan and hongkongs numbers continue to climb this requires more watching the us cdc has issued a level 1 alert regarding the wuhan pneumonia novel emergingvirus eid coronavirus wuhansars though trending is not a thing end
"Authorities in #HongKong are now reporting 9 patients under evaluation for disease with the novel #coronavirus causing #wuhan's #pneumonia cases. At least 3 have had other resp viruses detected (1 has #Influenza B/coronavirus 229E coinfection, and 2 others have #Rhinovirus). 3/",2020-01-08,"Maine, USA",5,Twitter Web App,0,1,2020-01,authorities in hongkong are now reporting 9 patients under evaluation for disease with the novel coronavirus causing wuhans pneumonia cases at least 3 have had other resp viruses detected 1 has influenza bcoronavirus 229e coinfection and 2 others have rhinovirus 3
